intento,error_angulos
1,"0,157"
2,"0,1395555556"
3,"0,1744444444"
4,"0,157"
5,"0,1918888889"
6,"0,2267777778"
7,"0,1918888889"
8,"0,157"
9,"0,2267777778"
10,"0,1918888889"
11,"0,4012222222"
12,"0,4535555556"
13,"0,4012222222"
14,"0,4535555556"
15,"0,314"
16,"0,3663333333"
17,"0,4361111111"
18,"0,4012222222"
19,"0,3837777778"
20,"0,4012222222"
21,"0,157"
22,"0,1395555556"
23,"0,1744444444"
24,"0,157"
25,"0,1918888889"
26,"0,2267777778"
27,"0,1918888889"
28,"0,157"
29,"0,2267777778"
30,"0,1918888889"
31,"0,4012222222"
32,"0,4535555556"
33,"0,4012222222"
34,"0,4535555556"
35,"0,314"
36,"0,3663333333"
37,"0,4361111111"
38,"0,4012222222"
39,"0,3837777778"
40,"0,4012222222"
